textid	label
1	joy
2	joy
3	joy
4	joy
5	joy
6	joy
7	joy
8	joy
9	joy
10	joy
11	joy
12	joy
13	joy
14	joy
15	joy
16	joy
17	joy
18	joy
19	joy
20	joy
21	joy
22	joy
23	joy
24	joy
25	joy
26	joy
27	joy
28	joy
29	joy
30	joy
31	joy
32	joy
33	joy
34	joy
35	joy
36	joy
37	joy
38	joy
39	joy
40	joy
41	joy
42	joy
43	joy
44	joy
45	joy
46	joy
47	joy
48	joy
49	joy
50	joy
51	joy
52	joy
53	joy
54	joy
55	joy
56	joy
57	joy
58	joy
59	joy
60	joy
61	joy
62	joy
63	joy
64	joy
65	joy
66	joy
67	joy
68	joy
69	joy
70	joy
71	joy
72	joy
73	joy
74	joy
75	joy
76	joy
77	joy
78	joy
79	joy
80	joy
81	joy
82	joy
83	joy
84	joy
85	joy
86	joy
87	joy
88	joy
89	joy
90	joy
91	joy
92	joy
93	joy
94	joy
95	joy
96	joy
97	joy
98	joy
99	joy
100	joy
101	joy
102	joy
103	joy
104	joy
105	joy
106	joy
107	joy
108	joy
109	joy
110	joy
111	joy
112	joy
113	joy
114	joy
115	joy
116	joy
117	joy
118	joy
119	joy
120	joy
121	joy
122	joy
123	joy
124	joy
125	joy
126	joy
127	joy
128	joy
129	joy
130	joy
131	joy
132	joy
133	joy
134	joy
135	joy
136	joy
137	joy
138	joy
139	joy
140	joy
141	joy
142	joy
143	joy
144	joy
145	joy
146	joy
147	joy
148	joy
149	joy
150	joy
151	joy
152	joy
153	joy
154	joy
155	joy
156	joy
157	joy
158	joy
159	joy
160	joy
161	joy
162	joy
163	joy
164	joy
165	joy
166	joy
167	joy
168	joy
169	joy
170	joy
171	joy
172	joy
173	joy
174	joy
175	joy
176	joy
177	joy
178	joy
179	joy
180	joy
181	joy
182	joy
183	joy
184	joy
185	joy
186	joy
187	joy
188	joy
189	joy
190	joy
191	joy
192	joy
193	joy
194	joy
195	joy
196	joy
197	joy
198	joy
199	joy
200	joy
201	joy
202	joy
203	joy
204	joy
205	joy
206	joy
207	joy
208	joy
209	joy
210	joy
211	joy
212	joy
213	joy
214	joy
215	joy
216	joy
217	joy
218	joy
219	joy
220	joy
221	joy
222	joy
223	joy
224	joy
225	joy
226	joy
227	joy
228	joy
229	joy
230	joy
231	joy
232	joy
233	joy
234	joy
235	joy
236	joy
237	joy
238	joy
239	joy
240	joy
241	joy
242	joy
243	joy
244	joy
245	joy
246	joy
247	joy
248	joy
249	joy
250	joy
251	joy
252	joy
253	joy
254	joy
255	joy
256	joy
257	joy
258	joy
259	joy
260	joy
261	joy
262	joy
263	joy
264	joy
265	joy
266	joy
267	joy
268	joy
269	joy
270	joy
271	joy
272	joy
273	joy
274	joy
275	joy
276	joy
277	joy
278	joy
279	joy
280	joy
281	joy
282	joy
283	joy
284	joy
285	joy
286	joy
287	joy
288	joy
289	joy
290	joy
291	joy
292	joy
293	joy
294	joy
295	joy
296	joy
297	joy
298	joy
299	joy
300	joy
301	joy
302	joy
303	joy
304	joy
305	joy
306	joy
307	joy
308	joy
309	joy
310	joy
311	joy
312	joy
